parameter,parameter_value,mean_Sharpe,median_Sharpe,mean_MaxDD,mean_Final_Equity,mean_false_recovery_count,mean_missed_rebound_count
credit_change_window,15.0,1.4513644761350355,1.4551207220335092,-0.18883588141524868,35.38450698446866,7.814814814814815,6.444444444444445
credit_change_window,20.0,1.4571682704319964,1.454888105265246,-0.1802981005675723,35.630754872302965,7.444444444444445,6.444444444444445
credit_change_window,30.0,1.4445323962564385,1.4450105814756784,-0.17077173180777022,33.996445165012446,6.148148148148148,6.851851851851852
credit_abs_threshold,0.05,1.4494932374222795,1.4450105814756784,-0.1790233838200146,34.11641208253047,11.37037037037037,8.185185185185185
credit_abs_threshold,0.1,1.4338561503640692,1.438127810171211,-0.1794929875984911,33.61471262744875,6.296296296296297,6.481481481481482
credit_abs_threshold,0.15,1.4697157550371218,1.4696196901469905,-0.18138934237208554,37.28058231180484,3.740740740740741,5.074074074074074
credit_level_z_window,126.0,1.47153003035955,1.4730918028289015,-0.17451380111506365,36.966955254206795,7.074074074074074,5.962962962962963
credit_level_z_window,252.0,1.4377115149820854,1.438127810171211,-0.169827031857239,33.75743903986946,6.7407407407407405,6.851851851851852
credit_level_z_window,504.0,1.443823597481835,1.4480378585514337,-0.1955648808182886,34.287312727707814,7.592592592592593,6.925925925925926
unlock_z_threshold,0.5,1.4240265967696024,1.4251702237892174,-0.17666658699542065,32.584530427413824,7.111111111111111,7.222222222222222
unlock_z_threshold,1.0,1.449812996200019,1.4489748031667857,-0.17912445053211326,34.7850671251986,7.0,6.7407407407407405
unlock_z_threshold,1.5,1.479225549853849,1.4730918028289015,-0.18411467626305733,37.64210946917164,7.296296296296297,5.777777777777778
