final_regime_confirmed,asset,n_obs,annualized_return,annualized_volatility,annualized_excess_return_vs_cash,Sharpe,max_drawdown,cumulative_return
FLAT_HIGH_RATE,SPY,564,0.09879812574404934,0.1755209004786237,0.0567844154228756,0.323519394374297,-0.23934620676924645,0.23474756799473484
FLAT_HIGH_RATE,GOLD,564,0.4788949880179312,0.23881297415462482,0.42240783233286217,1.7687809208362555,-0.1920951409971816,1.400689234671452
FLAT_HIGH_RATE,CMDTY_FUT,564,0.3319536895650754,0.21769565306861283,0.28106153279415813,1.291075539783855,-0.136879176385709,0.8994091172213978
FLAT_HIGH_RATE,IEF,564,0.09005543229317747,0.059459967109234284,0.048375142000796956,0.8135749875529981,-0.032161603211482204,0.2128678845292411
FLAT_HIGH_RATE,CASH,564,0.039763591055902214,0.0002837868074499644,0.0,0.0,0.0,0.09119221965329727
FLAT_LOW_RATE,SPY,222,0.2971274637894372,0.34543785330814347,0.29553262502609545,0.8555305164036824,-0.2831904866202487,0.25757049263059506
FLAT_LOW_RATE,GOLD,222,0.1434441231815573,0.2021027272331737,0.1420392053961841,0.7028069702013866,-0.14038888703073626,0.1253421762871314
FLAT_LOW_RATE,CMDTY_FUT,222,0.18914969706244777,0.36546948872507357,0.18768514145982862,0.5135453088425004,-0.3789104351849575,0.1648762743703618
FLAT_LOW_RATE,IEF,222,0.003014588731079293,0.07161164524008312,0.001781983455295899,0.0248839898779266,-0.04675671324747732,0.002655233115318678
FLAT_LOW_RATE,CASH,222,0.0012303387463845628,4.818457690025651e-05,0.0,0.0,-3.5722359331691322e-06,0.001083790507799165
FLAT_MID_RATE,SPY,730,0.014451114649866925,0.16433247894677336,-0.0016807425413384314,-0.010227695414263284,-0.2590184523070209,0.04243858320104188
FLAT_MID_RATE,GOLD,730,0.013383285712311066,0.11765848844905008,-0.002730788493941816,-0.023209447358524714,-0.17447377676296882,0.039263100758976766
FLAT_MID_RATE,CMDTY_FUT,730,0.002572443033913352,0.21257224328765595,-0.01337693465345291,-0.0629288868883556,-0.2589241535779728,0.007470113018365421
FLAT_MID_RATE,IEF,730,0.0073123756739799095,0.057657573949888234,-0.0087038646789116,-0.15095787218651213,-0.12913765632826657,0.021329901664993045
FLAT_MID_RATE,CASH,730,0.016158872225629173,0.00038368673630045935,0.0,0.0,0.0,0.04753026292244167
INVERTED,SPY,923,0.18954748778286534,0.14468212620387516,0.13721676740977773,0.9484016513306017,-0.16680303676492436,0.8884293477507048
INVERTED,GOLD,923,0.1799393147943258,0.16097533344085774,0.12802927328483116,0.795334729540219,-0.14396354991506755,0.8331597192192588
INVERTED,CMDTY_FUT,923,-0.060737973103601184,0.19990777503139967,-0.10209663023270499,-0.5107186562236941,-0.33336521957529985,-0.20507505327726372
INVERTED,IEF,923,0.011089703840940324,0.0755730799649672,-0.033416924465094366,-0.44218026419705503,-0.13127904643744082,0.04122163194393935
INVERTED,CASH,923,0.046039224394769374,0.0005578796318677537,0.0,0.0,0.0,0.17922945560043502
STEEP_HIGH_RATE,SPY,633,-0.0671251913261467,0.28217988950141176,-0.07221942181830066,-0.25593397866129414,-0.4668556398932243,-0.1601549473015984
STEEP_HIGH_RATE,GOLD,633,0.1541552771364525,0.2353711169469477,0.14785683762970558,0.6281859879308483,-0.29414136036638083,0.4335136908502466
STEEP_HIGH_RATE,CMDTY_FUT,633,0.0006428728682486007,0.31938378903046144,-0.004815157675697734,-0.01507639974563169,-0.5881258400679279,0.0016156202849106904
STEEP_HIGH_RATE,IEF,633,0.0841539281607182,0.08472266426768171,0.07824042631953265,0.9234887381767364,-0.061825322894032975,0.225025470714747
STEEP_HIGH_RATE,CASH,633,0.005484858288575811,0.00043491733638788895,0.0,0.0,0.0,0.013834620373493145
STEEP_LOW_RATE,SPY,985,0.22421675580026879,0.1411156777639473,0.22299557980856943,1.5802324967859886,-0.09727646959554093,1.2050297974009982
STEEP_LOW_RATE,GOLD,985,-0.0729543737370878,0.16913239449156636,-0.07387973383234414,-0.436815986993125,-0.36979414982128145,-0.2562840191518905
STEEP_LOW_RATE,CMDTY_FUT,985,0.18143897974672663,0.20757747765229895,0.18026084913604357,0.8684027341250774,-0.18604651162790542,0.9188287418085017
STEEP_LOW_RATE,IEF,985,-0.025347797926578375,0.05923005069584284,-0.026320818257579592,-0.4443828419587519,-0.1267594532432499,-0.0954837732248921
STEEP_LOW_RATE,CASH,985,0.0009991890971605688,6.337611740898936e-05,0.0,0.0,-3.9684516073279497e-07,0.0039112396721123766
STEEP_MID_RATE,SPY,1017,0.1023687856119404,0.19190204414618267,0.10019466790676712,0.522113604117959,-0.271317056368512,0.4819013877472542
STEEP_MID_RATE,GOLD,1017,0.09284690334498102,0.17594298105679854,0.09069147125356758,0.5154594443542493,-0.21919467598456432,0.430916932313234
STEEP_MID_RATE,CMDTY_FUT,1017,-0.13685699094761283,0.22793279706056155,-0.13856014871222,-0.6078991285988768,-0.6166891660063765,-0.44786119526110846
STEEP_MID_RATE,IEF,1017,0.08006437408528089,0.07019095224892201,0.07793363343581383,1.1103088209921064,-0.06472129088063405,0.36456175338970676
STEEP_MID_RATE,CASH,1017,0.0019770958530302973,0.000176295411590512,0.0,0.0,-1.1905746999385514e-06,0.008002970673278487
