strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,Final Equity,annualized_vol,turnover,transaction_cost_drag,avg_weight_SPY,avg_weight_GOLD,avg_weight_CMDTY_FUT,avg_weight_IEF,avg_weight_CASH,stress_days,steep_stress_cash_weight,steep_stress_ief_weight,Sharpe_rank,MaxDD_rank,FinalEquity_rank,composite_score
VC_ANCHOR_ALLOC_STEEP_CASH30_IEF70,0.1977553982256921,1.523488509240935,1.9082324390242593,-0.18605496238962638,1.0628869861130783,37.838700797510086,0.12980432541904896,113.13357890471136,0.05656678945235567,0.5230674019640376,0.18704097749742224,0.1276921723714137,0.08009459992116674,0.0821048482459598,947.0,0.3,0.7,1.0,1.0,3.0,1.5999999999999999
VC_ANCHOR_ALLOC_STEEP_CASH10_IEF90,0.19882174783571172,1.522287306050077,1.9185447759967302,-0.1860549623896267,1.0686183549318586,38.52280302605359,0.13060724282829386,112.73357890471136,0.056366789452355674,0.5230674019640376,0.18704097749742224,0.1276921723714137,0.09239258967284195,0.06980685849428458,947.0,0.1,0.9,4.0,2.0,1.0,2.5
VC_ANCHOR_ALLOC_STEEP_CASH20_IEF80,0.19829236717355703,1.5232033052483496,1.9140023398663801,-0.18605496238962693,1.065773063114023,38.18172993241307,0.13018115604812622,112.93357890471137,0.05646678945235567,0.5230674019640376,0.18704097749742224,0.1276921723714137,0.08624359479700433,0.07595585337012219,947.0,0.2,0.8,2.0,5.0,2.0,2.9
VC_ANCHOR_ALLOC_STEEP_CASH40_IEF60,0.19721084535237,1.523132059394776,1.9012477318355063,-0.1860549623896267,1.0599601473643105,37.49381917879409,0.12947718100735972,113.33357890471136,0.056666789452355676,0.5230674019640376,0.18704097749742224,0.1276921723714137,0.07394560504532911,0.08825384312179739,947.0,0.4,0.6,3.0,2.0,4.0,3.0
VC_ANCHOR_ALLOC_STEEP_CASH50_IEF50,0.1966587129697006,1.5221250804163406,1.8930672626662501,-0.1860549623896275,1.0569925706032353,37.14718846721104,0.12920010024137396,113.53357890471136,0.05676678945235568,0.5230674019640376,0.18704097749742224,0.1276921723714137,0.06779661016949153,0.094402837997635,947.0,0.5,0.5,5.0,8.0,5.0,5.9
VC_ANCHOR_ALLOC_STEEP_CASH60_IEF40,0.19609900554925064,1.5204607830241008,1.8837162339930855,-0.1860549623896276,1.0539842798634378,36.79891183751438,0.1289734057850687,113.73357890471136,0.056866789452355675,0.5230674019640376,0.18704097749742224,0.1276921723714137,0.06164761529365391,0.10055183287347261,947.0,0.6,0.4,6.0,9.0,6.0,6.8999999999999995
VC_ANCHOR_ALLOC_STEEP_CASH90_IEF10,0.19437447860016843,1.5114890221607888,1.848367344200991,-0.1860549623896267,1.0447153685324415,35.745233916049564,0.1285980088180166,114.33357890471136,0.057166789452355676,0.5230674019640376,0.18704097749742224,0.1276921723714137,0.04320063066614111,0.11899881750098543,947.0,0.9,0.09999999999999998,9.0,2.0,9.0,6.9
VC_ANCHOR_ALLOC_STEEP_CASH70_IEF30,0.19553172761763693,1.5181345488254534,1.8730413412385445,-0.18605496238962738,1.0509352994743766,36.44909219910664,0.12879736369145636,113.93357890471137,0.05696678945235567,0.5230674019640376,0.18704097749742224,0.1276921723714137,0.05549862041781632,0.10670082774931022,947.0,0.7,0.30000000000000004,7.0,7.0,7.0,7.0
VC_ANCHOR_ALLOC_STEEP_CASH80_IEF20,0.19495688375611686,1.5151439956802735,1.861439796901572,-0.18605496238962693,1.0478456540591912,36.097832147447114,0.12867218185990606,114.13357890471136,0.05706678945235567,0.5230674019640376,0.18704097749742224,0.1276921723714137,0.04934962554197871,0.1128498226251478,947.0,0.8,0.19999999999999996,8.0,5.0,8.0,7.1
