strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,Final Equity,annualized_vol,turnover,transaction_cost_drag,time_in_stress,time_in_vix_lock,time_in_credit_lock,number_entries,number_unlocks,unlock_z_threshold,unlock_trend_rule,Sharpe_rank,MaxDD_rank,FinalEquity_rank,composite_score
EXIT_Z0.9_MA50,0.1509654744608886,1.1597588310807745,1.3471326061235769,-0.18605496238962727,0.8114025690147626,16.96229021429785,0.13016971323271107,53.0,0.0265,947,232,848,16,13,0.9,MA50,1.0,5.0,1.0,2.1999999999999997
EXIT_Z0.9_MA30,0.15044405881486633,1.1584090669265938,1.3413522628407484,-0.18605496238962727,0.8086000872140873,16.808235536528137,0.12987127182456668,53.0,0.0265,959,232,860,16,13,0.9,MA30,2.0,5.0,2.0,2.9
EXIT_Z0.9_MA20,0.1501358327800899,1.1563063927271615,1.3383263632803468,-0.18605496238962727,0.8069434475264505,16.71779502551028,0.1298408741181417,53.0,0.0265,960,234,861,16,13,0.9,MA20,3.0,5.0,3.0,3.6
EXIT_Z0.1_MA20,0.1413528011042806,1.1010422077867479,1.259391649698595,-0.1860549623896267,0.7597367965293335,14.326671752693558,0.12838091047246947,53.0,0.0265,1022,260,923,16,13,0.1,MA20,5.0,1.0,5.0,3.8
EXIT_Z0.1_MA30,0.1413528011042806,1.1010422077867479,1.259391649698595,-0.1860549623896267,0.7597367965293335,14.326671752693558,0.12838091047246947,53.0,0.0265,1022,260,923,16,13,0.1,MA30,5.0,1.0,5.0,3.8
EXIT_Z0.1_MA40,0.1413528011042806,1.1010422077867479,1.259391649698595,-0.1860549623896267,0.7597367965293335,14.326671752693558,0.12838091047246947,53.0,0.0265,1022,260,923,16,13,0.1,MA40,5.0,1.0,5.0,3.8
EXIT_Z0.1_MA50,0.1413528011042806,1.1010422077867479,1.259391649698595,-0.1860549623896267,0.7597367965293335,14.326671752693558,0.12838091047246947,53.0,0.0265,1022,260,923,16,13,0.1,MA50,5.0,1.0,5.0,3.8
EXIT_Z0.9_MA40,0.14973578079929672,1.1531714670695183,1.3350372888471673,-0.18605496238962727,0.8047932657970569,16.601100206235248,0.12984693523488816,53.0,0.0265,960,232,861,16,13,0.9,MA40,4.0,5.0,4.0,4.3
EXIT_Z1.1_MA20,0.11367697733620696,0.6881737044393085,0.7840022712386517,-0.5402916555230974,0.21039928374638256,8.739641559986499,0.1651864588880588,61.0,0.0305,641,195,522,18,15,1.1,MA20,9.0,9.0,9.0,9.0
EXIT_Z1.1_MA30,0.11367697733620696,0.6881737044393085,0.7840022712386517,-0.5402916555230974,0.21039928374638256,8.739641559986499,0.1651864588880588,61.0,0.0305,641,195,522,18,15,1.1,MA30,9.0,9.0,9.0,9.0
EXIT_Z1.1_MA40,0.11367697733620696,0.6881737044393085,0.7840022712386517,-0.5402916555230974,0.21039928374638256,8.739641559986499,0.1651864588880588,61.0,0.0305,641,195,522,18,15,1.1,MA40,9.0,9.0,9.0,9.0
EXIT_Z1.1_MA50,0.11367697733620696,0.6881737044393085,0.7840022712386517,-0.5402916555230974,0.21039928374638256,8.739641559986499,0.1651864588880588,61.0,0.0305,641,195,522,18,15,1.1,MA50,9.0,9.0,9.0,9.0
